Water System No.,Water System Name,Type,Distribution System Class,Max Treatment Plant Class,Principal County Served,Primary Source Water Type,Lat,Long,project_water
CA4000637,COUNTRY HILLS ESTATES,C,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000640,CAL SHASTA CLUB,NC,NR,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000642,CHRISTMAS COVE,NC,NR,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000644,BABE RUTH'S OAK VIEW,NC,NR,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000648,KEN MAR GARDENS,C,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000649,LOS ROBLES MOBILE HOME ESTATES,C,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000650,MESA DUNES MOBILE HOME ESTATES,C,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000652,"NORTHSHORE S & B, INC",NC,D1,T1,SAN LUIS OBISPO  ,SW,,,Neither 
CA4000653,RANCHO COLINA MOBILE HOME PARK,C,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000654,RESTHAVEN MOBILE HOME PARK,C,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000655,RINCONADA TRAILER PARK,NC,NR,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000656,SANTA MARGARITA KOA,NC,NR,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000659,TRI COUNTIES CLUB,NC,NR,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000660,BEAR VALLEY WATER COMPANY,C,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000664,LAGUNA VISTA BOAT CLUB,NC,NR,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000670,WALNUT HILLS MUTUAL WATER CO,C,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000671,ELKS LODGE #322,NTNC,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000675,BRANCH ELEMENTARY SCHOOL,NTNC,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000678,TALLEY FARMS LABOR HOUSING,NTNC,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000684,RAGGED POINT INN,NTNC,D1,T2,SAN LUIS OBISPO  ,GU,,,Neither 
CA4000689,SYCAMORE MINERAL SPRINGS RESORT,NTNC,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000692,PASO ROBLES CHEVROLET CADILLAC,NTNC,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000693,CRESTON ELEMENTARY SCHOOL,NTNC,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000694,HARMONY WATER WORKS,NC,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000699,SAN PASO TRUCK STOP,NC,NR,There are no treatment plants,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000700,GRANITE RIDGE,NC,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000701,LOPEZ RECREATION AREA,NC,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000702,SUNSET DRIVE-IN SNACK BAR,NC,NR,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000705,LAGUNA NEGRA MUTUAL WATER CO.,C,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000707,"LONGBRANCH SALOON, THE",NC,NR,There are no treatment plants,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000708,LOADING CHUTE,NC,NR,There are no treatment plants,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000714,SANTA MARGARITA RECREATION AREA,NC,NR,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000716,AVILA VALLEY MUTUAL WATER CO,C,D1,T1,SAN LUIS OBISPO  ,SWP,35.19093822,-120.706976,SWP
CA4000722,"FIERO LANE WATER COMPANY, INC.",NTNC,D1,There are no treatment plants,SAN LUIS OBISPO  ,SWP,n/a,n/a,Neither 
CA4000725,141 SUBURBAN ROAD WATER SUPPLY,NTNC,D1,There are no treatment plants,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000730,HOLDGRAFER & ASSOCIATES,NTNC,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000732,CARRISA PLAINS ELEMENTARY,NTNC,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000733,BIDDLE REGIONAL COUNTY PARK,NC,NR,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000734,NOLL PROPERTIES,NTNC,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000741,"H2O, INC",C,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000744,AFUERA DE CHORRO WATER COMPANY,C,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000747,HALFWAY STATION,NC,D1,There are no treatment plants,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000749,TERRA DE ORO WATER COMPANY,C,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000750,RIM ROCK WATER COMPANY,C,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000752,"TMC SUBURBAN, LLC",NTNC,D1,There are no treatment plants,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000753,SLO PARTNERS,NTNC,D1,T2,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000757,CERRO ALTO CAMPGROUND,NC,NR,There are no treatment plants,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000765,VARIAN RANCH MUTUAL WATER,C,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000766,WASTE CONNECTIONS WATER CO,NTNC,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000768,J M SIMS WATER SUPPLY,NTNC,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000770,HORIZON LANE WATER SUPPLY,NTNC,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000771,RANCHO NIPOMO WATER COMPANY,C,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000774,PLEASANT VALLEY ELEMENTARY,NTNC,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000775,MUSTANG SPRINGS MUTUAL WATER,C,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000777,"STRASBAUGH, INC",NTNC,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000778,PARSONS WATER SUPPLY,NTNC,D1,There are no treatment plants,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000780,MADONNA INN WATER COMPANY,NTNC,D1,There are no treatment plants,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000781,PASO 360,NTNC,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000788,HUNTER RANCH GOLF COURSE,NC,NR,There are no treatment plants,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000789,SPANISH LAKES MUTUAL WATER CO,C,D1,There are no treatment plants,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000790,PASO ROBLES RV RANCH,NC,NR,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000800,PORT SAN LUIS HARBOR DISTRICT,NTNC,D1,There are no treatment plants,SAN LUIS OBISPO  ,SWP,n/a,n/a,Neither 
CA4000802,SANTA YSABEL RANCH MWC,C,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000803,RANCHO SALINAS  MBWC,C,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000805,CALLENDER GROVE MUTUAL WATER,C,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000806,VACHELL WATER SYSTEM,NTNC,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000808,MONTE SERENO MUTUAL BENEFIT WATER,C,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000809,CONGREGATION BETH DAVID,NC,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000815,LAS VENTANAS RANCH,C,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000818,"NINER WINE ESTATES, LLC",NC,NR,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000819,EDNA VALLEY VINEYARDS,NTNC,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000823,ARONHILL VINEYARD,NC,NR,There are no treatment plants,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000824,"INN AT OPOLO KITCHEN, THE",NC,NR,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000825,"DAOU VINEYARDS, LLC",NTNC,NR,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000829,VINES R.V. RESORT,NC,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000830,OCTAGON BARN CENTER ASSOCIATION,NC,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000831,CENTER OF EFFORT WINERY,NC,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000832,PARRISH FAMILY WINERY,NC,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000834,ANZA VINEYARD ESTATES MUTUAL WATER CO,C,D1,T2,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000835,INDEPENDENCE WATER SYSTEM,NTNC,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000837,PLAYA DULCE,NTNC,D1,There are no treatment plants,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000838,SIXMILEBRIDGE WINERY,NC,D1,There are no treatment plants,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000839,ADA'S LODGES,C,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000841,SUTTER HOME WINERY INC. TRINCHERO CC,NTNC,D1,T2,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000842,SANTA MARGARITA RANCH HEADQUARTERS,NTNC,D1,There are no treatment plants,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000844,COASTAL CHRISTIAN SCHOOL,NTNC,D1,There are no treatment plants,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000845,CAELESTA WINERY,NC,D1,There are no treatment plants,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000846,BOOKER WINERY,NTNC,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000847,CARPENTER WINERY,NC,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000848,MT. OLIVE ORGANIC FARM,NC,D1,There are no treatment plants,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000849,JADA VINEYARD AND WINERY,NC,D1,There are no treatment plants,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000850,BRECON ESTATE,NC,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000851,CHAMISAL VINEYARDS,NC,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000852,ZOO MED-WINTERHAVEN,NTNC,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000853,GRAN CIELO MUTUAL WATER COMPANY,C,D1,T2,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000854,GROSSO KRESSER WINERY,NC,D1,There are no treatment plants,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000856,ADELAIDA VINEYARDS & WINERY,NTNC,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000872,LE CUVIER WINERY,NC,,Missing treatment classification in SDWIS,SAN LUIS OBISPO  ,SW,n/a,n/a,Neither 
CA4010001,CITY OF ARROYO GRANDE UTILITIES DIVISION,C,D4,T2,SAN LUIS OBISPO  ,SWP,35.12432298,-120.5846868,SWP
CA4010002,ATASCADERO MUTUAL WATER CO,C,D4,T2,SAN LUIS OBISPO  ,GW,,,Neither 
CA4010003,SAN MIGUELITO MWC,C,D2,T2,SAN LUIS OBISPO  ,SWP,35.19283377,-120.7220396,SWP
CA4010004,CITY OF GROVER BEACH PUBLIC WORKS DEPT,C,D3,T2,SAN LUIS OBISPO  ,SW,35.12036546,-120.6198433,SWP
CA4010005,OCEANO COMM SERVICES DIST.,C,D2,T1,SAN LUIS OBISPO  ,SWP,35.10349007,-120.6136963,SWP
CA4010006,CAYUCOS BEACH MUTUAL WATER COMPANY,C,D1,TD,SAN LUIS OBISPO  ,SWP,n/a,n/a,Neither 
CA4010007,CITY OF PASO ROBLES WATER DIVISION,C,D4,T3,SAN LUIS OBISPO  ,SW,n/a,n/a,Neither 
CA4010008,PISMO BEACH WATER DEPARTMENT,C,D3,TD,SAN LUIS OBISPO  ,SWP,35.14875197,-120.6501097,SWP
CA4010009,SAN LUIS OBISPO WATER DEPARTMENT,C,D4,T5,SAN LUIS OBISPO  ,SW,n/a,n/a,Neither 
CA4010010,SAN MIGUEL COMMUNITY SERVICES DISTRICT,C,D2,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4010011,MORRO BAY PW DEPT - WATER DIVISION,C,D3,T2,SAN LUIS OBISPO  ,SWP,35.37399146,-120.8577068,SWP
CA4010012,HERITAGE RANCH CSD,C,D2,T3,SAN LUIS OBISPO  ,SW,n/a,n/a,Neither 
CA4010014,CAMBRIA COMM SERVICES DIST,C,D2,T3,SAN LUIS OBISPO  ,GW,,,Neither 
CA4010015,MORRO ROCK MUTUAL WATER CO,C,D2,TD,SAN LUIS OBISPO  ,SWP,n/a,n/a,Neither 
CA4010016,LOS OSOS COMMUNITY SERVICES DISTRICT,C,D2,T2,SAN LUIS OBISPO  ,GW,,,Neither 
CA4010017,GOLDEN STATE WATER COMPANY - LOS OSOS,C,D3,T2,SAN LUIS OBISPO  ,GW,,,Neither 
CA4010018,GOLDEN STATE WATER COMPANY - NIPOMO,C,D2,T2,SAN LUIS OBISPO  ,SWP,n/a,n/a,Neither 
CA4010019,TEMPLETON CSD,C,D2,T2,SAN LUIS OBISPO  ,GW,,,Neither 
CA4010022,LOPEZ PROJECT,C,D3,T4,SAN LUIS OBISPO  ,SW,35.17105775,-120.5325885,SWP
CA4010023,GOLDEN STATE WATER COMPANY - EDNA,C,D2,T2,SAN LUIS OBISPO  ,GW,,,Neither 
CA4010024,SLO CWWD NO. 23 - SANTA MARGARITA,C,D2,T2,SAN LUIS OBISPO  ,GW,,,Neither 
CA4010025,SLO CSA NO. 10 - CAYUCOS WTP,C,D2,T3,SAN LUIS OBISPO  ,SW,n/a,n/a,Neither 
CA4010026,NIPOMO COMM SERVICES DIST,C,D3,TD,SAN LUIS OBISPO  ,SWP,35.04312289,-120.5045638,SWP
CA4010027,NACIMIENTO WATER COMPANY,C,D2,T3,SAN LUIS OBISPO  ,SW,n/a,n/a,Neither 
CA4010028,SLO CSA NO. 16 - SHANDON,C,D2,TD,SAN LUIS OBISPO  ,SWP,n/a,n/a,Neither 
CA4010030,CHORRO VALLEY PIPELINE - SLO COUNTY,C,D3,There are no treatment plants,SAN LUIS OBISPO  ,SWP,35.32124981,-120.7206869,SWP
CA4010040,GOLDEN STATE WATER COMPANY-CYPRESS RIDGE,C,D2,T2,SAN LUIS OBISPO  ,SWP,n/a,n/a,Neither 
CA4010080,NACIMIENTO WATER PROJECT,C,D2,There are no treatment plants,SAN LUIS OBISPO  ,SW,n/a,n/a,Neither 
CA4010081,WOODLANDS DEVELOPMENT,C,D2,T1,SAN LUIS OBISPO  ,SWP,n/a,n/a,Neither 
CA4010300,HEARST MONUMENT STATE PARK,NTNC,D2,T2,SAN LUIS OBISPO  ,SW,n/a,n/a,Neither 
CA4010301,HEARST MEMORIAL STATE BEACH,NC,D1,T2,SAN LUIS OBISPO  ,SWP,n/a,n/a,Neither 
CA4010305,MONTANA DE ORO STATE PARK,NC,D1,TD,SAN LUIS OBISPO  ,SWP,n/a,n/a,Neither 
CA4010830,CALIFORNIA MENS COLONY,C,D3,T3,SAN LUIS OBISPO  ,SW,35.3239232,-120.6989344,SWP
CA4010832,ATASCADERO STATE HOSPITAL,C,D2,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4010900,CALTRANS - SHANDON REST STOP,NC,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4010901,SLOCSA #10A - CAYUCOS,C,D2,There are no treatment plants,SAN LUIS OBISPO  ,SWP,n/a,n/a,Neither 
CA4090001,CALIFORNIA MENS COLONY - RW,NP,,There are no treatment plants,SAN LUIS OBISPO  ,,n/a,n/a,Neither 
CA4090002,"CITY OF SAN LUIS OBISPO, SANITATION DEPT",NP,,There are no treatment plants,SAN LUIS OBISPO  ,,n/a,n/a,Neither 
CA4090003,EMERALD HILLS ESTATES RW,NP,,There are no treatment plants,SAN LUIS OBISPO  ,,n/a,n/a,Neither 
CA4090004,MONARCH GROVE RECYCLED WATER,NP,,There are no treatment plants,SAN LUIS OBISPO  ,,n/a,n/a,Neither 
CA4090005,BAYWOOD PARK/ LOS OSOS - RWP,NP,,There are no treatment plants,SAN LUIS OBISPO  ,,n/a,n/a,Neither 
CA4090006,CYPRESS RIDGE DEVELOPMENT RW,NP,,There are no treatment plants,SAN LUIS OBISPO  ,,n/a,n/a,Neither 
CA4090007,PISMO RANCH RECYCLED WATER,NP,,There are no treatment plants,SAN LUIS OBISPO  ,,n/a,n/a,Neither 
CA4090008,SAN LUIS OBISPO CSA NO. 18,NP,,There are no treatment plants,SAN LUIS OBISPO  ,,n/a,n/a,Neither 
CA4090009,WOODLANDS DEVELOPMENT RECYCLED WATER,NP,,There are no treatment plants,SAN LUIS OBISPO  ,,n/a,n/a,Neither 
CA4090010,LOS OSOS CSD - WWTP,NP,,There are no treatment plants,SAN LUIS OBISPO  ,,n/a,n/a,Neither 
CA4090011,STRASBAUGH RECYCLED WATER,NP,,There are no treatment plants,SAN LUIS OBISPO  ,,n/a,n/a,Neither 
CA4090012,FIERO LANE RECYCLED WATER COMPANY,NP,,There are no treatment plants,SAN LUIS OBISPO  ,,n/a,n/a,Neither 
CA4090013,AVILA BEACH CSD - RW,NP,,There are no treatment plants,SAN LUIS OBISPO  ,,n/a,n/a,Neither 
CA4090014,SAN SIMEON RECYCLED WATER,NP,,There are no treatment plants,SAN LUIS OBISPO  ,,n/a,n/a,Neither 
CA4090015,CAMBRIA CSD - RECYCLED WATER,NP,,There are no treatment plants,SAN LUIS OBISPO  ,,n/a,n/a,Neither 
CA4090016,MORRO BAY RECYCLED WATER SYSTEM,NP,,There are no treatment plants,SAN LUIS OBISPO  ,,n/a,n/a,Neither 
CA4090017,CITY OF PASO ROBLES RECYCLED WATER,NP,,There are no treatment plants,SAN LUIS OBISPO  ,,n/a,n/a,Neither 
CA4090018,CITY OF PISMO BEACH RECYCLED WATER,NP,,There are no treatment plants,SAN LUIS OBISPO  ,,n/a,n/a,Neither 
CA4090019,CAYUCOS SANITARY DISTRICT,NP,,There are no treatment plants,SAN LUIS OBISPO  ,,n/a,n/a,Neither 
CA4090021,CAL POLY SLO RECYCLED WATER,NP,,There are no treatment plants,SAN LUIS OBISPO  ,,n/a,n/a,Neither 
,,,,,,,,,
CA4400502,TROUT GULCH MUTUAL WATER COMPANY,C,D1,TD,SANTA CRUZ  ,GW,,,Neither 
CA4400505,DAVID BRUCE WINERY,NC,D1,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400517,LAKEVIEW APARTMENTS,C,D1,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400526,BIG REDWOOD PARK WATER,C,D1,There are no treatment plants,SANTA CRUZ  ,SWP,37.11431532,-121.9846683,SWP
CA4400528,LAUREL COMMUNITY LEAGUE,C,D1,T1,SANTA CRUZ  ,GU,,,Neither 
CA4400530,LAND OF MEDICINE BUDDHA,NTNC,D1,T1,SANTA CRUZ  ,GW,,,Neither 
CA4400543,R A FARMS,NTNC,D1,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400557,ST FRANCIS TRACT WATER SYSTEM,C,D1,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400558,SAN ANDREAS MUTUAL WATER CO,C,D1,T1,SANTA CRUZ  ,GW,,,Neither 
CA4400559,SUMMIT MUTUAL WATER COMPANY,C,D1,T2,SANTA CRUZ  ,SW,n/a,n/a,Neither 
CA4400570,MOUNTAIN SUMMIT MUTUAL WATER SYSTEM,NC,NR,There are no treatment plants,SANTA CRUZ  ,SWP,n/a,n/a,Neither 
CA4400571,DAVENPORT COUNTY SANITATION,C,D1,T2,SANTA CRUZ  ,SW,n/a,n/a,Neither 
CA4400572,FERN GROVE WATER CLUB,C,D1,TD,SANTA CRUZ  ,GW,,,Neither 
CA4400582,PINE TREE LANE MUTUAL WATER CO,C,D1,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400585,RIDGEVIEW ESTATES MWC,C,D1,T1,SANTA CRUZ  ,GW,,,Neither 
CA4400595,VILLA DEL MONTE MWC,C,D1,T2,SANTA CRUZ  ,SW,37.12451601,-121.9559871,SWP
CA4400597,LA MADRONA ATHLETIC CLUB,NC,NR,TD,SANTA CRUZ  ,GW,,,Neither 
CA4400598,"PURESOURCE WATER, INC",C,D1,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400599,SUNSET BEACH MUTUAL WATER CO,C,D1,There are no treatment plants,SANTA CRUZ  ,SWP,n/a,n/a,Neither 
CA4400604,BRACKEN BRAE COUNTRY CLUB,C,D1,There are no treatment plants,SANTA CRUZ  ,SWP,n/a,n/a,Neither 
CA4400605,CRESTWOOD HEIGHTS WATER ASSN,C,D1,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400608,FOREST SPRINGS,C,D1,There are no treatment plants,SANTA CRUZ  ,SWP,n/a,n/a,Neither 
CA4400611,JARVIS MUTUAL WATER SYSTEM,C,D1,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400613,LAS COLINAS ROAD & WATER ASSN,C,D1,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400617,SUMMIT WEST MUTUAL WATER CO.,C,D1,There are no treatment plants,SANTA CRUZ  ,SWP,37.12782185,-121.9989093,SWP
CA4400618,RIDGE MUTUAL WATER COMPANY,C,D1,There are no treatment plants,SANTA CRUZ  ,SWP,37.14174373,-121.9952159,SWP
CA4400619,ENCHANTED VALLEY,NC,NR,T1,SANTA CRUZ  ,GW,,,Neither 
CA4400621,RIVER GROVE MUTUAL WATER ASSN,C,D1,T2,SANTA CRUZ  ,SW,n/a,n/a,Neither 
CA4400624,RANCHO CORRALITOS,C,D1,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400625,VISTA ROBLES ASSOCIATION,C,D1,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400631,LAS CUMBRES MUTUAL WATER CO,C,D1,T3,SANTA CRUZ  ,SW,n/a,n/a,Neither 
CA4400634,APTOS HILLS MUTUAL WATER CO,C,NR,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400642,CATHEDRAL WOOD MUTUAL WATER COMPANY,C,D1,T2,SANTA CRUZ  ,SW,n/a,n/a,Neither 
CA4400645,HIDDEN MEADOW MUTUAL WATER CO,C,D1,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400652,"CATHEDRAL HILLS MWC, INC",C,D1,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400660,RANCHO SAN ANDREAS,C,D1,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400662,SANTA CRUZ MOUNTAIN PURE WC,NC,NR,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400664,JARDINES DEL VALLE,C,D1,T1,SANTA CRUZ  ,GW,,,Neither 
CA4400665,MEADOWRIDGE MUTUAL WATER CO,C,D1,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400667,EMERALD CITY MUTUAL WATER CO,C,D1,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400668,SUNNY ACRES MWC,NC,NR,T1,SANTA CRUZ  ,GW,,,Neither 
CA4400684,APTOS RIDGE MUTUAL WATER CO,C,D1,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400692,ALLAN LANE WATER ASSOCIATION,C,D1,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400701,QUAKER CENTER,NC,NR,T2,SANTA CRUZ  ,SW,,,Neither 
CA4400704,BOULDER CREEK SCOUT RESERV.,NC,NR,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400705,VAJRAYANA FOUNDATION,NC,D1,TD,SANTA CRUZ  ,GW,,,Neither 
CA4400709,KOINONIA CONFERENCE GROUNDS,NC,NR,TD,SANTA CRUZ  ,GW,,,Neither 
CA4400710,CAMP ST FRANCIS,NC,NR,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400711,CAMP CHESEBROUGH,NC,NR,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400715,HIDDEN FALLS GIRL SCOUT CAMP,NC,NR,T2,SANTA CRUZ  ,SW,,,Neither 
CA4400717,KENNOLYN CAMP,NC,D1,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400723,MISSION SPRINGS CONFERENCE CENTER,C,D2,T2,SANTA CRUZ  ,GW,,,Neither 
CA4400725,SANTA CRUZ COUNTY FAIRGROUNDS,NTNC,D1,TD,SANTA CRUZ  ,GW,,,Neither 
CA4400726,SEVENTH DAY ADVENTIST CAMP,NC,D1,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400750,APTOS HIGH SCHOOL,NTNC,D1,TD,SANTA CRUZ  ,GW,,,Neither 
CA4400751,BONNY DOON SCHOOL,NTNC,D1,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400753,CABRILLO COLLEGE,NTNC,D1,TD,SANTA CRUZ  ,GW,,,Neither 
CA4400754,MONTE VISTA CHRISTIAN SCHOOL,C,D2,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400755,MONTEREY BAY ACADEMY,C,D1,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400756,MOUNTAIN ELEMENTARY SCHOOL,NTNC,D1,T1,SANTA CRUZ  ,GW,,,Neither 
CA4400757,ALIANZA CHARTER SCHOOL/WCSA,NTNC,D1,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400758,RENAISSANCE HIGH SCHOOL,NTNC,D1,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400762,ROUNTREE FACILITY(PREV. SHERIFF'S REHAB),C,D1,TD,SANTA CRUZ  ,GW,,,Neither 
CA4400763,BUENA VISTA MIGRANT CENTER,C,D1,T1,SANTA CRUZ  ,GW,,,Neither 
CA4400764,MOUNT MADONNA CENTER,C,D1,T1,SANTA CRUZ  ,GW,,,Neither 
CA4400774,SANTA CRUZ KOA CAMPGROUNDS,NC,NR,TD,SANTA CRUZ  ,GW,,,Neither 
CA4400800,BIG CREEK LUMBER COMPANY,NTNC,D1,T1,SANTA CRUZ  ,GW,,,Neither 
CA4400801,LOCKHEED MARTIN SPACE SYSTEMS,NTNC,D2,T2,SANTA CRUZ  ,SW,,,Neither 
CA4400823,SPRING HILLS GOLF COURSE,NC,NR,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400825,ROARING CAMP RAILROAD INC,NC,NR,TD,SANTA CRUZ  ,GW,,,Neither 
CA4400850,THE WILLOWS RESORT,C,D1,T1,SANTA CRUZ  ,GW,,,Neither 
CA4400851,KIM SON MONASTERY,NC,D1,There are no treatment plants,SANTA CRUZ  ,GW,,,Neither 
CA4400875,SANTA CRUZ WALDORF SCHOOL,NTNC,D1,T1,SANTA CRUZ  ,GW,,,Neither 
